title,Element number,NIH Value,Element title,Generated Content
Basic Research from a Non-Human Source Example,element_1a,"This project will produce clinical measures, phenotypic characteristics, microscopic imaging, and transcriptomic gene expression profiles from 
mouse models of nonalcoholic steatohepatitis (NASH)-driven hepatocellular carcinoma (HCC). Data will be collected for up to 50 mice 
generating a total of three datasets. The following data files will be produced during the course of this project: 
• Clinical and Phenotypic data including animal sex, body weight, specific organ weights, age and developmental stage, tissue profiled,
and disease outcome.
• RNA sequencing datasets including normalized transcript and gene level expression counts. This dataset will also include a number of 
quality control metrics including total reads, clipped reads, sequencing platform, and any other relevant metrics that arise during the 
project. 
• Light and confocal microscopy images of formaldehyde-fixed paraffin-embedded tissue slices.",,
Secondary Data Analysis Example,element_1a,"This project will perform secondary data analysis on kidney magnetic resonance imaging (MRI) data to determine the parenchymal kidney 
volume. Analysis will be done on the subjects with available imaging data within the database of Genotypes and Phenotypes (dbGaP). The 
following dataset will be produced during this project: 
• Clinical dataset of the estimated kidney volume.",,
Survey and Interview Example,element_1a,"Survey This study will collect quantitative and qualitative survey data from 3,000 U.S. adults. The survey instrument
will include 40-50 fixed-scale and open-ended text items including novel measures, scales identified in the PhenX 
toolkit, and two proprietary measures from [insert entity]. Raw and recoded data including open-ended text responses 
and resulting recoded variables will be produced. Open-ended text items will not request personally identifying or 
sensitive information but will be reviewed for privacy disclosure risks and redacted accordingly.
2. Interviews This study will also conduct digitally recorded semi-structured interviews with patients (n=40), healthcare 
providers (n=40) and industry professionals (n=20). Deidentified, raw transcripts will be generated and coded using 
methods described in Aim 2. Codebooks will be developed and used for coding transcripts, as described in Aim 2. 
Codebooks and coding summary files will be shared as detailed below. ",,
Human Clinical Trial Data,element_1a,"Type of study: Interventional, Clinical Trial. A Phase 3, Randomized, Placebo-controlled, Double-Blind 
Study of 180 mother-infant pairs in patients with early onset preeclampsia with primary outcome: days 
of maintaining pregnancy.
360 participants (3 sites) will be enrolled in the study upon diagnosis of preeclampsia but not beyond 34 
weeks gestational age. The subjects will be followed during antepartum management and assigned to 
either the treatment or placebo groups. Infants will return for follow-up visits at 3, 6, and 12 months of 
age. 
Clinical and laboratory data
Includes medical history, demographic information, and patient characteristics at time of enrollment. 
Other data will be extracted from each subsequent clinical encounter leading to delivery, this includes 
lab tests consistent with clinical management, physical exams (presence of headache, swelling, vision 
issues, etc), and blood pressure measurements. Fetal monitoring will include assessments of estimated 
fetal weight, and non-stress tests. Blood and urine will be collected at each visit to generate research 
laboratory data including results of urinalysis (proteinuria/creatinine ratio), analysis of angiogenic 
factors, uric acid, and glycemia. Pregnancy duration (prolongation days of pregnancy) and neonatal 
outcomes (birth weight, Apgar scores, head and chest circumference at birth, short term prognosis of 
neonate, NICU admission) will also be recorded.
Infant follow-up studies will include anthropometric measurements, and neurodevelopment 
assessments such as the Bayley scale of infant development at 3, 6, and 12 months. 
These values will be reported as tabular data and stored in a REDCap secure electronic data capture 
system.
Clinical imaging 
2D images generated from Doppler studies of uterine, umbilical and middle cerebral arteries will be 
collected and deidentified raw images will be stored as .jpeg files. The presence of uterine artery 
notching will also be recorded. The pulsatility index for each image will be extracted as tabular data and 
stored in .csv files.
3D images of the fetal thigh will be obtained and stored as deidentified .vol files. These images will then 
be used to measure total thigh, lean mass, and subcutaneous fat volumes. Volume measurement will 
be stored in .csv files.
Real-time grayscale 2D clips of the fetal heart will be acquired to measure global sphericity and cardiac 
area percentile. Deidentified DICOM files of raw data and .csv files of cardiac measurements and 
percentiles will be stored.",,
Clinical data from human research participants-NIA,element_1a,"Summarize the types and estimated amount of scientific data expected to be generated in the project.
Clinical data will be obtained from electronic health records (EHR) for ~15,000 patients in a primary care 
clinic. Clinical data include demographic data, medical history, laboratory data, medications, physical 
exams, and cognitive exams. Cognitive assessment data for a subset of individuals (~40) will be collected 
via validated assessment instruments. This project proposes to use clinical data to generate cognitive risk 
scores",,
"Survey, interview, and biological data (tiered access)",element_1a,"The proposed project involves administering an additional wave of data collection for a longitudinal study. 
Data to be generated include social, behavioral, and biological data collected through web-surveys, in_x0002_person interviews, and home health exams. Approximately 13,000 web-surveys and interviews and 200 
home health exams will be completed. ",,
Non-human data (primates),element_1a,"The proposed work will generate raw video, activity, and cardiac physiological files from which behavioral 
data and autonomic nervous system reactivity data will be generated. Data will be generated for N=500 
subjects across multiple test points",,
Secondary data analysis-NIA,element_1a,"The proposed work will not collect new data. This project will perform secondary analysis using publicly 
available data (accessible via the Health and Retirement Study) and data that are accessible through a 
data use agreement (Health and Retirement Study-linked Medicare data). ",,
Survey and interview data-NIA,element_1a,"Data to be generated from this project include physical activity data from an accelerometer, responses to a 
survey characterizing caregiver well-being, and participant responses to semi-structured interviews 
captured via digital recordings. We will collect data from 250 participants across three timepoints.",,
Human clinical and genomic data-NIA,element_1a,"This study will generate whole genome sequencing (WGS) data derived from the human blood samples 
of 3,200 non-Hispanic White (NHW) cases with Late-onset Alzheimer’s Disease (LOAD) and matched 
controls. This project will also generate GWAS and exome sequencing data using additional blood 
samples from diverse populations: 1,000 African American (AA) cases and matched controls, 1,343 
Hispanic (HI) cases and matched controls. Familial WGS will be completed in 1,012 NHW and HI, 
respectively. Estimated total data size is 30 TB. Associated phenotypic data (i.e., clinical subtypes, 
endophenotypes, and biomarkers) will also be shared.",,
Non-human data (rodents)-NIA,element_1a,"The study will generate multimodal data from 50 to 80 mouse subjects, combining electrophysiological, behavioral, and imaging modalities to investigate hippocampal function. The expected data types and estimated volumes are as follows:

Electrophysiology data: Neural recordings will be collected using 64-channel extracellular electrode probes targeted to the mouse hippocampus. Data will include both raw extracellular voltage recordings and processed spike time data. The estimated data volume to be shared is 100–1000 GB.

Behavioral data: Spatial navigation will be recorded concurrently with electrophysiological activity. These data include raw video frames of freely moving mice within an arena, along with processed positional and heading data for each frame. The estimated data volume is 10–100 GB.

Imaging data: Confocal microscopy will be used to capture 3-color image stacks of immunostained mouse brain tissue, verifying probe placement in the hippocampus. The estimated data volume is 1–10 GB.",,
Clinical data (human biospecimens),element_1a,"Demographic and clinical data will be acquired from 200 amyloid-positive, cognitively normal older 
adults with symptomatic insomnia. The types of clinical data include amyloid-beta (Aβ), tau, 
phosphorylated tau, NPTX2, sTREM2, and NfL from CSF; Aβ, tau, and phosphorylated tau from 
plasma; and cognitive status assessments.",,
Drug discovery including intellectual property,element_1a,"This project is estimated to generate: (i) 30 Compound A analog’s design, production, characterization, and 
purification protocols. (ii) in vitro and cell-based assays of Compound A analogs (30 compounds to be 
tested). (iii) Substance stability and in vitro and in vivo toxicology (10 compounds, 6 WT mice per dose, 5 
doses), (iv) Pharmacokinetics (ADME) (3-4 compounds to be tested, 10 5xFAD mice per dose, 4 doses). 
(v) Preclinical positron emission tomography (PET) imaging data (2-3 compounds, 15 WT or 5xFAD mice
per compound).",,
HeLa Cell Whole Genome Sequence (DNA or RNA),element_1a,"The project will generate high-fidelity (HiFi) long-read whole-genome sequencing data from a single human HeLa cell line, obtained from ATCC. Sequencing will be performed using the PacBio platform, which offers high-accuracy long reads suitable for resolving complex genomic regions. The total expected data output is approximately 700 megabytes (MB), capturing the complete genome of the HeLa cell line with high-resolution coverage. ",,
Secondary Data Analysis on Data from Human Subjects-NIA,element_1a,"This is a secondary analysis of publicly available datasets comprising 1,000 subjects with Alzheimer’s 
disease (AD) and 1,000 subjects without AD, aged 65-95 years. Primary data will be sourced from the 
Baltimore Longitudinal Study of Aging (BLSA) (clinical, cognitive data, MR imaging data) and from the 
OASIS-3 dataset (PET and MR imaging including multiple structural and functional sequences, along with 
related clinical, cognitive data, and APOE status), accessible through the Open Access Series of Imaging 
Studies (OASIS) database. This secondary analysis will yield novel insight into the functional properties 
of white matter (WM) circuits in normal aging and AD. This will involve examining local anisotropic 
correlation of the Blood oxygenation level-dependent (BOLD) signal on the voxel scale and templates for 
Diffusion Tensor Imaging (DTI) indices (fractional anisotropy, axial diffusivity, radial diffusivity, mean 
diffusivity) created using existing spatial normalization tools. For white matter/grey matter (WM/GM) 
connectivity, Fluorescence Optical Imaging (FOI) atlases in NIFTI (Neuroimaging Informatics Technology 
Initiative) format will be generated to delineate GM and WM connectivity, serving as normative data for 
future studies. ",,
Analysis of social media posts,element_1a,"1) Social media posts and comments: Approximately 300K publicly available social 
media posts (including images and videos) will be obtained through a third-party 
social media data mining vendor. The posts will be processed and given a unique 
identifier; comments will be linked with its associated post/identifier. All identifying 
information (e.g., names, social media handles or other user identifiers, websites) 
will be removed. These data will be categorized and coded (e.g. topic, sentiment, 
accuracy, use of personal narrative).
2) Survey data: The study will collect quantitative survey data from 500 young adult
participants (age 18-34) enrolled in an intervention delivered via Instagram, a 
popular social media platform. The survey instrument includes participant
demographic characteristics, and measures for all independent and dependent 
variables. Data will be recoded to characterize missing values and other data 
processing activities as needed. Each participant will also have their intervention 
group assignment (e.g., control group, intervention arm) documented. All data will 
be deidentified. 
3) User analytics: Program monitoring data such as views, comments, and “shares”
from the 500 participants enrolled in the intervention will also be collected with 
consent. This includes metrics related to each participant’s social media 
engagement within the intervention and control groups on a social media platform, 
as well as coded results of major themes and characteristics of participants’ posts. 
All identifiers (e.g., names, social media handles or other identifiers, websites) will 
be removed.",,
Clinical and MRI data from human research participants,element_1b,Sufficient data from this project will be preserved to enable sharing via NDA data of sufficient quality to validate and replicate research findings described in the Aims. NIMH requires data measured from human subjects to be shared using the NDA.,,
Genomic data from human research participants,element_1b,All raw and processed genomics files and all clinical and phenotypic data will be shared.,,
Genomic data from a non-human source,element_1b,"The data described in section A will allow researchers to reproduce our publications and will allow them to collect 
additional data in a similar way to extend our results.",,
Secondary data analysis,element_1b,"This is a secondary data analysis application, so new data is not being measured. Much of the data is already
available through NDA. Clinical and imaging data from 155 new subjects will be shared.",,
Human clinical and genomics data,element_1b,"Clinical data that will be preserved and shared are demographical data, insurance status, medical 
history, medications, lab tests performed by the clinical site and central laboratory, and physical exams 
data, among other data pertinent to the study. Clinical data from case report forms will be preserved 
and shared. Research laboratory data that will be preserved and shared include results of cytokine 
analysis and other immunoassays from biospecimens. Genomic data that will be preserved and shared 
will include WES, shallow WGS, and DNA methylation arrays (EPIC). Clinical data sets will be 
submitted to DASH in .CSV format. Genomic data sets will be provided using FASTQ, CRAM, and VCF 
formats.",,
Gene expression analysis data from non-human model organism (zebrafish),element_1b,"All scientific data including raw/measured and derived data (as described in Section 1A) will be 
preserved and shared, for the purposes of reproducibility and reusability.",,
Human survey data,element_1b,"The raw interview data, time-diary data, and data for administrative linkages will be stored within a 
secure computing environment. All direct respondent identifiers (e.g., names and addresses) will be 
removed and maintained in a secure file for future contact purposes. 
All other scientific data (coded interview data, scale composites, time diary recodes, school data, and 
contextual data) will be both preserved and shared. Respondent identifiers will not be shared.",,
Clinical Data from Human Research Participants,element_1b,"Identifiable data will be de-identified prior to repository submission. Participant-level clinical data described in A will 
be preserved through deposition of the data in a controlled access public repository. ",,
Human genomic data,element_1b,"Genomic (e.g., sequencing reads and variant call files) and phenotypic/clinical data from this project will be useful 
to researchers beyond those involved in this project and will therefore be preserved and shared. We will share de_x0002_identified patient demographics, genomic and clinical/phenotypic data extracted from medical records that are 
used to substantiate the findings that we publish. In alignment with NHGRI’s expectation to share comprehensive 
phenotypic data, we will also select several (5+) other key phenotypic variables extracted from the medical record 
to provide additional context about the research participants’ health to secondary users to maximize the utility of 
the shared data. 
Data that do not meet quality metrics (e.g., RIN>7, replicate concordance >0.8, FastQC check) will not be 
preserved and shared. HIPAA identifiers will be preserved at our institution but will not be shared. ",,
Technology development,element_1b,"Some of the nanopore sequence data generated over the course of this technology development project will be 
preliminary data that doesn’t meet the quality metrics that warrant broad data sharing. As the technology matures, 
and the quality of the sequencing reads improves, we anticipate generating some high-quality genomic data 
(sequencing reads, base modification calls, and variant call files) that would be useful to researchers (e.g., as a 
reference for these newer file types) beyond those involved in this project. These files will therefore be preserved 
and shared. Because of the size of nanopore sequencing files, we will share compressed file types. 
30X whole-genome and RNA-seq data that are generated as controls for our tech dev project will also be shared.",,
Basic Research from a Non-Human Source Example,element_1b,All three datasets described in A will be preserved and shared through public repositories. ,,
Secondary Data Analysis Example,element_1b,"This secondary data analysis is not generating new data measurements. The data are already available through the dbGaP. The kidney 
volume dataset produced from the methods developed during this study will be made available for further research.",,
Survey and Interview Example,element_1b,"Survey Data: Except where mentioned in Section 5 below, de-identified individual and aggregate survey data (including 
raw and recoded data) will be shared. The de-identification process will remove direct and indirect respondent identifiers. 
Once data are confirmed final, respondent identifiers will be deleted.
Interview Data: Following generation and quality check of raw transcripts from interviews, digital voice recordings will be 
permanently deleted to protect participant privacy. Respondent identifiers will not be shared. Raw transcripts will be 
maintained but not shared. Transcripts from interviews with patients and healthcare providers will be de-identified and 
sensitive content redacted where identification is plausible. These de-identified and redacted transcripts and coding 
summaries will be shared. Transcripts from industry stakeholder interviews will not be shared to protect participant 
privacy (see 5A). All shared data sets mentioned above, and metadata (see below) will be made publicly available 
through the Analysis, Visualization, and Informatics Lab-space (AnVIL)",,
Human Clinical Trial Data,element_1b,"All subject-level clinical, laboratory, and clinical imaging data described in 1A will be preserved and 
shared. Shared data, including ultrasound images, will be deidentified, and original data will be 
maintained at the investigator’s institution. 
Recruitment progress and final results will be documented at clinicaltrials.gov. ",,
Clinical data from human research participants-NIA,element_1b,"De-identified summary measures such as risk scores and assessment outcomes will be made openly 
available. De-identified individual level data will be available through a controlled access plan 
requiring a confidentiality agreement and institutional approval as described in Element 5 of this DMS 
Plan.",,
"Survey, interview, and biological data (tiered access)",element_1b,"From the proposed additional wave of data collection, we will share social, behavioral, and biological 
data via a tiered access plan determined by sensitivity of data as described in Element 5.",,
Non-human data (primates),element_1b,"Raw data files will be shared. Data sets will consist of quantitative measures forming the basis of 
primary data analyses.",,
Secondary data analysis-NIA,element_1b,"The proposed work is a secondary data analysis of available data. No new data will be collected from 
this project.",,
Survey and interview data-NIA,element_1b,"De-identified survey responses and raw accelerometer data will be shared. Individual-level digital 
recordings will not be shared publicly because of the difficulty masking the identity of participants. 
Digital recordings may be shared under a data-use agreement. Similarly, qualitative data from 
participant interviews will be de-identified prior to sharing under a data use agreement. ",,
Human clinical and genomic data-NIA,element_1b,"Genomic data subject to the NIH Genomic Data Sharing (GDS) policy, i.e., raw genomic sequencing 
data and sequencer data files, will be shared along with clinical and phenotypic data needed to 
reproduce any research findings (significant and non-significant). ",,
Non-human data (rodents)-NIA,element_1b,"We will share all data generated during the project period except any data generated during protocol 
optimization and/or training of lab personnel that do not meet NIH’s definition of scientific data (i.e., data 
that are not of “sufficient quality to validate or replicate research findings”).",,
Clinical data (human biospecimens),element_1b,"All individual-level clinical and laboratory data will be preserved and made broadly available to the 
scientific community. Recruitment progress and final results will be documented at ClinicalTrials.gov. It 
is our mission to ensure dissemination of clinical results of sufficient quality to validate and replicate 
research findings.",,
Drug discovery including intellectual property,element_1b,"The scientific data types mentioned above will be shared with protocols and metadata according to 
repository requirements so that they can be reproduced by other researchers and/or generate new 
hypotheses. Types of files that will be generated include, but will not be limited to, *.docs, *.xls, *.pdf, *.cdx, 
*.mol). Specifically, chemical structures, synthesis workflow, and analytical chemistry will be uploaded as 
PDF files. Medicinal and analytical chemistry measurements will be processed and shared on 
spreadsheets and as graphs. For histopathology and immunohistochemistry (IHC) experiments, we will 
preserve images and process and summarize the data on spreadsheets and graphs. PET imaging will be 
shared as PET/CT images. ",,
HeLa Cell Whole Genome Sequence (DNA or RNA),element_1b,All the scientific data (and accompanying metadata described in 1.C.) will be preserved and shared. These data will complement existing whole-genome data that are available from the HeLa cell line maintained in dbGaP.,,
Secondary Data Analysis on Data from Human Subjects-NIA,element_1b,"No new data will be collected for this study. All derived data, including atlases, codes, pipelines, and 
trajectories generated by the secondary analysis, will be shared through the respective repositories.",,
Analysis of social media posts,element_1b,"1) The raw images or texts of original SM posts will not be shared due to third party 
vendor restrictions and for user privacy protection. The queries and search process, 
as well as a select number of exemplary posts and codebooks (including 
variable/data dictionary for each variable) will be shared. Summary data containing 
post identifiers and associated coded characteristics (e.g. content, sentiment, 
accuracy), which will be used to complete the aims of the study, will be shared.
2) De-identified survey data and de-identified and coded program monitoring data
(e.g., number of logins, “likes”, content of posts, other analytics) from intervention 
participants will be shared. ",,
Clinical and MRI data from human research participants,element_1c,"In addition to the subject level data described above, all 1 H fMRS and fMRI task related paradigm designs and experiment definitions will be deposited in the NDA.","3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be provided:
   - Data dictionaries describing all clinical and demographic variables
   - Imaging acquisition parameters and protocols (including scanner models, pulse sequences, and preprocessing steps)
   - Data collection instruments and case report forms
   - Study protocol and informed consent templates
   - Documentation of quality control procedures and data preprocessing pipelines

**Element 2: Related Tools, Software and/or Code:**  
Standard neuroimaging data formats (e.g., NIfTI for MRI, BIDS for data organization) will be used. Analysis and visualization may require commonly available software such as SPM, FSL, AFNI, or LCModel for ^1H fMRS data; these are freely available to the research community. Custom scripts used for preprocessing or analysis will be documented and shared as supplementary materials or via a public repository such as GitHub.

**Element 3: Standards:**  
Data and metadata will be organized and formatted following the Brain Imaging Data Structure (BIDS) standard, which promotes interoperability and reuse. Imaging files will be provided in NIfTI format, and clinical/demographic data will be in CSV or JSON format with accompanying data dictionaries. The NDA data dictionary and variable naming conventions will be used to harmonize with existing NIMH Data Archive submissions. No proprietary or non-standard formats will be used.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Clinical and MRI data from human research participants,element_1c,"In addition to the subject level data described above, all 1 H fMRS and fMRI task related paradigm designs and experiment definitions will be deposited in the NDA.",1. **Repository where scientific data and metadata will be archived:**,"All data and corresponding metadata will be archived in the NIMH Data Archive (NDA; https://nda.nih.gov/), an NIH-designated repository for mental health research data."
Genomic data from human research participants,element_1c,"The Institutional Certification will be submitted to NIH during the dbGaP registration process once we have been 
told that a grant award is likely. Within the first six months following the award, we will submit the Data 
Submission Agreement to NDA and will create the Data Expected list in our new NDA Collection. A brief study 
protocol will also be submitted to NDA and will be made freely available.","3. **Metadata, other relevant data, and associated documentation:**","Metadata will include subject-level and sample-level information, sequencing platform and protocol details, data processing and quality control logs, and documentation of all phenotypic assessments (including data dictionaries, codebooks, and study protocols). Data will be submitted with all required NDA and dbGaP metadata fields to ensure interpretability and reusability.

**Element 2: Related Tools, Software and/or Code:**  
The scientific data can be accessed and manipulated using standard open-source bioinformatics tools such as SAMtools, GATK, and PLINK for genomic data, and Tabular data analysis software (e.g., R, Python, or Microsoft Excel) for phenotypic/clinical data. No proprietary software is required. Data deposited in dbGaP and NDA will be in standardized file formats (e.g., FASTQ, BAM, VCF, CSV), and documentation will specify recommended tools for use.

**Element 3: Standards:**  
The project will use community-accepted data and metadata standards to ensure interoperability. Genomic data will follow the file format and metadata requirements specified by the NIH Genomic Data Sharing Policy, dbGaP, and the NIMH Data Archive (e.g., FASTQ/BAM for sequence data, VCF for variants). Phenotypic and clinical data will be harmonized and submitted according to the NDA data dictionary and common data elements. All datasets will include required metadata for subject and sample identification, consent codes, and data provenance.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Genomic data from human research participants,element_1c,"The Institutional Certification will be submitted to NIH during the dbGaP registration process once we have been 
told that a grant award is likely. Within the first six months following the award, we will submit the Data 
Submission Agreement to NDA and will create the Data Expected list in our new NDA Collection. A brief study 
protocol will also be submitted to NDA and will be made freely available.",1. **Repository where scientific data and metadata will be archived:**,"Raw and processed genomic data will be submitted to dbGaP (the NIH Database of Genotypes and Phenotypes). All data types, including genomic, phenotypic, and clinical data, along with supporting documentation, will be deposited in the NIMH Data Archive (NDA)."
Genomic data from a non-human source,element_1c,"In addition to a detailed methods section for any publications associated with this work, we will provide a detailed 
step-by-step protocol as a Supplementary Protocol document and maintain active protocols.io protocols for each 
technology and workflow. 
We will additionally release protocol links as metadata to be associated with single-cell data deposited to the 
Neuroscience Multi-omic Archive (NeMO).
In addition to providing detailed protocols, our laboratory has hosted visiting scientists to train on the data 
analysis pipelines developed and deployed by the lab. We welcome the opportunity to continue these training 
efforts.","3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be made accessible:  
   - Cell-level metadata: animal sex, developmental time point, punch of origin (x, y, z coordinates), assigned cluster/subcluster and inferred cell types, QC metrics (total reads, passing reads, reads in peaks, TSS enrichment, cell barcode, preparation/sequencing dates, sequencing platform, doublet likelihood, and other relevant metrics)  
   - Sample-level metadata: animal identifiers, batch information, experimental protocols  
   - Data processing documentation: detailed protocols for tissue processing, library preparation, and sequencing; descriptions of quality control procedures and analysis pipelines  
   - Data dictionaries and README files to facilitate interpretation and reuse

**Element 2: Related Tools, Software and/or Code:**  
Specialized tools and software will be needed to access and analyze the scientific data:  
- Seurat (R package) and Scanpy (Python) for single-cell data analysis  
- ArchR for single-cell ATAC-seq analysis  
- Cell Ranger (10x Genomics) for initial processing  
- Standard bioinformatics tools for handling FASTQ, BAM, and matrix files  
All software is open-source or freely available for academic use. Custom code and processing pipelines developed during the project will be shared via GitHub and documented for reproducibility.

**Element 3: Standards:**  
The project will follow established community standards for single-cell genomics data:  
- Data formats: FASTQ for raw reads; BAM for aligned data; HDF5, AnnData (.h5ad), or Matrix Market (.mtx) formats for matrices  
- Metadata standards: Minimum Information About a Single Cell Experiment (MINISE) and requirements by the Brain Research through Advancing Innovative Neurotechnologies® (BRAIN) Initiative  
- Controlled vocabularies for cell types (e.g., Cell Ontology), anatomical terms, and experimental variables  
- All metadata will be structured to comply with repository requirements (e.g., GEO/SRA/NeMO Archive) to maximize interoperability  
If additional standards emerge during the project, they will be adopted as appropriate.

**Element 4: Data Preservation, Access, and Associated Timelines**"
