dmp_title,md_path,Element title,Generated_Gpt_content,status
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All raw WGS data, processed genomic data (e.g., VCFs), and corresponding phenotypic and clinical data will be preserved and shared. This includes all data necessary to reproduce primary findings and enable secondary analyses by other investigators. Data sharing is in accordance with NIH and NIMH policies to maximize the utility and impact of collected data, facilitate reproducibility, and support broad scientific discovery.",ok
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,"3. **Metadata, other relevant data, and associated documentation:**","Metadata will include subject-level and sample-level information, sequencing platform and protocol details, data processing and quality control logs, and documentation of all phenotypic assessments (including data dictionaries, codebooks, and study protocols). Data will be submitted with all required NDA and dbGaP metadata fields to ensure interpretability and reusability.

**Element 2: Related Tools, Software and/or Code:**  
The scientific data can be accessed and manipulated using standard open-source bioinformatics tools such as SAMtools, GATK, and PLINK for genomic data, and Tabular data analysis software (e.g., R, Python, or Microsoft Excel) for phenotypic/clinical data. No proprietary software is required. Data deposited in dbGaP and NDA will be in standardized file formats (e.g., FASTQ, BAM, VCF, CSV), and documentation will specify recommended tools for use.

**Element 3: Standards:**  
The project will use community-accepted data and metadata standards to ensure interoperability. Genomic data will follow the file format and metadata requirements specified by the NIH Genomic Data Sharing Policy, dbGaP, and the NIMH Data Archive (e.g., FASTQ/BAM for sequence data, VCF for variants). Phenotypic and clinical data will be harmonized and submitted according to the NDA data dictionary and common data elements. All datasets will include required metadata for subject and sample identification, consent codes, and data provenance.

**Element 4: Data Preservation, Access, and Associated Timelines**",ok
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,1. **Repository where scientific data and metadata will be archived:**,"Raw and processed genomic data will be submitted to dbGaP (the NIH Database of Genotypes and Phenotypes). All data types, including genomic, phenotypic, and clinical data, along with supporting documentation, will be deposited in the NIMH Data Archive (NDA).",ok
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,2. **How scientific data will be findable and identifiable:**,"Data submitted to dbGaP and NDA will be indexed and assigned persistent unique identifiers (e.g., accession numbers, DOIs) to ensure long-term discoverability. Metadata records in these repositories will be searchable via repository-specific and general data discovery tools (e.g., NIH RePORTER, DataMed).",ok
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,3. **When and how long the scientific data will be made available:**,"Scientific data will be made available to qualified investigators as early as possible, but no later than the time of publication of the main findings or at the end of the NIH funding period, whichever occurs first. Data will remain available through dbGaP and NDA for a minimum of 10 years or as required by repository policies and NIH guidelines.

**Element 5: Access, Distribution, or Reuse Considerations**",ok
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","All research participants will be prospectively consented for broad data sharing in accordance with NIH Genomic Data Sharing Policy. Data will be de-identified prior to sharing. Controlled access procedures will be used to address privacy concerns and ensure data use is consistent with participant consent, IRB requirements, and ethical guidelines.",ok
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,2. **Whether access to scientific data will be controlled:**,"Yes, access to all individual-level genomic and phenotypic data will be controlled and made available through dbGaP and NDA only after approval of a Data Use Certification/Application by the appropriate data access committee.",ok
Genomic data from human research participants,primary\gpt-DMPs\Genomic data from human research participants-gpt-4.1.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","All data will be de-identified prior to submission, following HIPAA and NIH guidelines. Identifiers will be removed, and only coded subject IDs will be used. Data will be stored and shared under controlled access agreements. Certificates of Confidentiality will be obtained as required. Access to sensitive data will require user agreements specifying appropriate data use, storage, and reporting practices to protect participant privacy and confidentiality.

**Element 6: Oversight of Data Management and Sharing:**  
Compliance with this Data Management and Sharing Plan will be overseen by the project’s Data Manager in coordination with the Principal Investigator. The Data Manager will ensure timely data submission and adherence to data standards and repository requirements. Oversight will occur at least quarterly and will include regular audits of data storage, documentation, and submission procedures. The Institutional Data Steward and the IRB will provide additional oversight to ensure compliance with all regulatory and ethical requirements. Any non-compliance will be promptly addressed and reported to the funding agency as required.",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,1. **Types and amount of scientific data expected to be generated in the project:**,"The project will generate a spatially mapped single-cell atlas of the developing mouse brain, with the potential to include data from human cells in later project years. For each modality (single-cell ATAC-seq, single-cell RNA-seq, and single-cell DNA methylation), the primary data will be cell-by-feature matrices:  
   - ATAC-seq: Matrix of cells × peaks (counts in peaks)  
   - RNA-seq: Matrix of cells × genes (UMI counts)  
   -DNA methylation: Matrix of cells × methylation status at specific sites  
   Each matrix will be accompanied by dense metadata tables annotating each cell. The anticipated volume of data is estimated at 1-2 TB of processed data and up to 10-20 TB of raw sequencing data over the course of the project.",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The following data will be preserved and shared:  
   - Processed cell-by-feature matrices for each modality (ATAC-seq, RNA-seq, DNA methylation)  
   - Associated cell-level metadata tables  
   - Raw sequencing data (FASTQ files)  
   - Data processing scripts and pipelines  
   Sharing these datasets will facilitate reproducibility, enable secondary analyses by the research community, and support collaborative efforts in mapping brain development. Raw data will be preserved to enable reprocessing with future methods.",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,"3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be made accessible:  
   - Cell-level metadata: animal sex, developmental time point, punch of origin (x, y, z coordinates), assigned cluster/subcluster and inferred cell types, QC metrics (total reads, passing reads, reads in peaks, TSS enrichment, cell barcode, preparation/sequencing dates, sequencing platform, doublet likelihood, and other relevant metrics)  
   - Sample-level metadata: animal identifiers, batch information, experimental protocols  
   - Data processing documentation: detailed protocols for tissue processing, library preparation, and sequencing; descriptions of quality control procedures and analysis pipelines  
   - Data dictionaries and README files to facilitate interpretation and reuse

**Element 2: Related Tools, Software and/or Code:**  
Specialized tools and software will be needed to access and analyze the scientific data:  
- Seurat (R package) and Scanpy (Python) for single-cell data analysis  
- ArchR for single-cell ATAC-seq analysis  
- Cell Ranger (10x Genomics) for initial processing  
- Standard bioinformatics tools for handling FASTQ, BAM, and matrix files  
All software is open-source or freely available for academic use. Custom code and processing pipelines developed during the project will be shared via GitHub and documented for reproducibility.

**Element 3: Standards:**  
The project will follow established community standards for single-cell genomics data:  
- Data formats: FASTQ for raw reads; BAM for aligned data; HDF5, AnnData (.h5ad), or Matrix Market (.mtx) formats for matrices  
- Metadata standards: Minimum Information About a Single Cell Experiment (MINISE) and requirements by the Brain Research through Advancing Innovative Neurotechnologies® (BRAIN) Initiative  
- Controlled vocabularies for cell types (e.g., Cell Ontology), anatomical terms, and experimental variables  
- All metadata will be structured to comply with repository requirements (e.g., GEO/SRA/NeMO Archive) to maximize interoperability  
If additional standards emerge during the project, they will be adopted as appropriate.

**Element 4: Data Preservation, Access, and Associated Timelines**",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,1. **Repository where scientific data and metadata will be archived:**,"Processed data and metadata will be deposited in the NeMO Archive (https://nemoarchive.org/), which specializes in single-cell neurogenomics data. Raw sequencing data will be deposited in the NCBI Gene Expression Omnibus (GEO) and Sequence Read Archive (SRA). If human data is generated, it will be deposited in dbGaP or an equivalent NIH-approved controlled-access repository.",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,2. **How scientific data will be findable and identifiable:**,"All datasets will be assigned persistent unique identifiers (DOIs or accession numbers from NeMO, GEO, SRA, or dbGaP). Metadata will follow repository-specific indexing and will be discoverable via standard repository search tools and NIH Data Discovery Indexes.",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,3. **When and how long the scientific data will be made available:**,"Data will be made available no later than the time of first publication of results or at the end of the performance period, whichever comes first. Data will remain accessible in the selected repositories for a minimum of 10 years, in accordance with NIH policy and repository guidelines.

**Element 5: Access, Distribution, or Reuse Considerations**",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","Data from mouse studies will be shared without restrictions, except for general terms of use set by the repositories. If human-derived data are included, sharing will be subject to informed consent agreements, privacy, and confidentiality requirements. Data use limitations will be clearly documented in the metadata.",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,2. **Whether access to scientific data will be controlled:**,"Mouse data will be available via open access repositories (NeMO, GEO, SRA). Human data, if generated, will be available through controlled access (e.g., dbGaP) to ensure compliance with consent and confidentiality protections.",ok
Genomic data from a non-human source,primary\gpt-DMPs\Genomic data from a non-human source-gpt-4.1.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","If human data are generated, all data will be de-identified before sharing. Data will be deposited in controlled-access repositories (e.g., dbGaP), with access granted only to approved investigators under data use agreements. Certificates of Confidentiality and IRB-approved protocols will govern data handling and sharing, in full compliance with NIH and institutional requirements.

**Element 6: Oversight of Data Management and Sharing:**  
Compliance with this Data Management and Sharing Plan will be overseen by the project’s Data Steward, supervised by the Principal Investigator (PI). Quarterly reviews will be conducted to ensure data is being properly documented, archived, and shared according to the timelines and standards outlined above. The institutional Office of Research Compliance will perform annual audits and provide guidance as needed. Any updates or amendments to the DMSP will be reviewed and approved by institutional officials and communicated to NIH program staff.",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,1. **Types and amount of scientific data expected to be generated in the project:**,"The project will utilize and generate multimodal data derived from human participants with major depressive disorder. The scientific data will include:  
   - Structural MRI images (T1-weighted and T2-weighted) from approximately 350 subjects (195 from NDA collections 2134 and 2433, and 155 from a previous study not yet shared). Each subject has up to two time points (pre- and post-treatment), resulting in an estimated 700 MRI image files in standard formats (NIfTI or DICOM).  
   - Associated clinical assessment data (e.g., depression severity scores, demographic variables, medication history, and treatment outcomes) for each participant and time point.  
   - Ancillary data such as quality assurance metrics for imaging and records of imaging parameters.",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All structural MRI images and corresponding clinical assessment data generated or used in the project will be preserved and shared. This includes the previously unshared dataset from 155 participants, which will be deposited to the NIMH Data Archive (NDA). The rationale is to maximize scientific transparency, reproducibility, and reuse by the research community, in accordance with NIH and NIMH policies and in recognition of the value of sharing both neuroimaging and clinical data to advance mental health research.",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,"3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be made accessible:  
   - Study protocols, including MRI acquisition parameters and clinical assessment procedures  
   - Data dictionaries describing variables within the clinical assessments  
   - Participant eligibility criteria  
   - Data processing and de-identification procedures  
   - Documentation outlining time points, treatment regimens, and assessment schedules  
   - Quality control protocols and logs  

**Element 2: Related Tools, Software and/or Code:**  
MRI data will be shared in standard formats (NIfTI, DICOM) compatible with widely available neuroimaging software, including FSL, SPM, and AFNI, all of which are open-source and freely available. Clinical data will be shared in CSV or tab-delimited text formats compatible with standard data analysis tools (R, Python, SPSS, SAS). No proprietary software is required to access the data. Any custom code used for data preprocessing or analysis will be documented and shared via a public repository (e.g., GitHub) with instructions for use.

**Element 3: Standards:**  
The project will adhere to the Brain Imaging Data Structure (BIDS) standard for organizing and describing MRI data and associated metadata, facilitating interoperability and reuse. Clinical data will be mapped to the NDA Common Data Elements (CDEs) where possible, and metadata will be described using NDA-recommended data dictionaries and templates. Data will conform to de-identification and harmonization standards required by the NDA.

**Element 4: Data Preservation, Access, and Associated Timelines**",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,1. **Repository where scientific data and metadata will be archived:**,"All data and metadata will be deposited in the National Institute of Mental Health Data Archive (NDA; https://nda.nih.gov), the designated NIH repository for neuroimaging and mental health research data.",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,2. **How scientific data will be findable and identifiable:**,"Data will be indexed and made findable via the NDA, with each dataset assigned a unique, persistent NDA Collection ID and Digital Object Identifier (DOI) where applicable. Metadata and documentation will be linked to the relevant NDA collection, ensuring discoverability through standard indexing and search tools.",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,3. **When and how long the scientific data will be made available:**,"Previously unshared data from 155 participants will be uploaded to the NDA by the end of Quarter 2 of Year 1 of funding. All data will be made available to qualified researchers no later than the time of first publication or the end of the project period, whichever occurs first, and will remain available via the NDA repository for a minimum of 10 years or as long as NDA maintains the data.

**Element 5: Access, Distribution, or Reuse Considerations**",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","Data sharing will comply with participant informed consent for broad data sharing. All shared data will be de-identified to protect participant privacy. Access and reuse may be limited to non-commercial research purposes, consistent with consent and NDA policies. Any additional restrictions required by participant consent or institutional review board (IRB) will be documented in the NDA permissions.",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,2. **Whether access to scientific data will be controlled:**,"Yes, access to the scientific data will be controlled. The NDA operates under a controlled-access model, requiring data use certifications and approval of data access requests to ensure responsible use and participant privacy.",ok
Secondary data analysis,primary\gpt-DMPs\Secondary data analysis-gpt-4.1.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","All data will be de-identified prior to sharing, with removal of direct identifiers in accordance with HIPAA and NDA guidelines. Structural MRI data will be defaced to prevent facial recognition. Access to data will be granted only to qualified researchers under a data use agreement that includes provisions for confidentiality and appropriate data handling. The study will have a Certificate of Confidentiality and all procedures will be reviewed and approved by the IRB.

**Element 6: Oversight of Data Management and Sharing:**  
Compliance with this Data Management and Sharing Plan will be monitored by the project’s Data Steward (PI or designated Data Manager). The Data Steward will oversee data collection, de-identification, documentation, and timely submission to the NDA, with review at quarterly lab meetings. Institutional oversight will be provided by the Office of Research Compliance, and adherence to the Plan will be reviewed annually in progress reports to NIH.",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,1. **Types and amount of scientific data expected to be generated in the project:**,"The project will generate both clinical and research laboratory data from approximately 1,000 enrolled human participants. Clinical data will be extracted from site electronic health records (EHRs) and include demographic information, insurance status, medical history, medication lists, laboratory test results (from both site and central laboratory), physical examination findings, and other study-specific clinical variables. Data will be collected longitudinally, with high frequency (daily) for the first 2 weeks and then monthly for up to 12 months post-consent. Research laboratory data will include cytokine analyses and other immunoassay results obtained from biospecimens. In addition, genomic data will be generated from whole exome sequencing (WES), shallow whole genome sequencing (WGS), and DNA methylation (EPIC arrays) on blood samples collected at the initial study visit, with an estimated total data volume of approximately 10 TB.",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All individual-level, de-identified clinical data (including data from case report forms), research laboratory data, and genomic data will be preserved and shared. This includes longitudinal clinical data, immunoassay results, and genomic data (WES, WGS, and methylation arrays). The rationale is to maximize the utility and reproducibility of the data, facilitate secondary research, and comply with NIH and NICHD data sharing policies. All participants will provide informed consent for broad data sharing.",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,"3. **Metadata, other relevant data, and associated documentation:**","The following documentation will be made accessible to facilitate interpretation:  
   - Data dictionaries and codebooks for all clinical, laboratory, and genomic datasets  
   - Study protocols and standard operating procedures (SOPs)  
   - Data collection instruments (e.g., case report forms)  
   - REDCap data dictionary/export files  
   - Laboratory assay protocols  
   - Genomic data processing and quality control documentation  
   - Consent forms and data sharing agreements (templates)  

**Element 2: Related Tools, Software and/or Code:**  
Most clinical and laboratory data will be provided in standard, non-proprietary formats (e.g., CSV, TSV). Genomic data will be shared in standard formats such as FASTQ, BAM/CRAM, and VCF. Tools for accessing these data are freely available and include REDCap (for data management), as well as standard bioinformatics software (e.g., samtools, bcftools, IGV). Detailed documentation and references to appropriate open-source tools will be provided in the data release documentation. No proprietary software is required for access.

**Element 3: Standards:**  
Clinical data will be mapped to standardized terminologies and coding systems, including LOINC (Logical Observation Identifiers Names and Codes) for laboratory data, SNOMED CT/ICD-10 for diagnoses, and RxNorm for medications. Genomic data will adhere to formats and standards established by the Global Alliance for Genomics and Health (GA4GH) and the NIH Genomic Data Sharing Policy, including use of standardized file formats (e.g., FASTQ, BAM/CRAM, VCF). Metadata will conform to the Data Tag Suite (DATS) standard as used by NICHD DASH. Associated documentation will follow FAIR data principles to enhance findability, accessibility, interoperability, and reusability.

**Element 4: Data Preservation, Access, and Associated Timelines**",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,1. **Repository where scientific data and metadata will be archived:**,"All clinical, laboratory, and associated documentation will be deposited in the NICHD Data and Specimen Hub (DASH) repository. Genomic data will also be deposited in appropriate NIH repositories, such as dbGaP (Database of Genotypes and Phenotypes), as required.",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,2. **How scientific data will be findable and identifiable:**,"Data will be assigned persistent unique identifiers (e.g., DOIs, accession numbers) by the NICHD DASH and dbGaP repositories. Descriptive metadata and study-level information will be indexed and searchable through repository portals and relevant data catalogs.",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,3. **When and how long the scientific data will be made available:**,"Data will be made available as soon as possible, but no later than the time of publication of the main study findings or at the end of the funding period, whichever comes first. Data will remain available through NICHD DASH and NIH repositories for a minimum of 10 years, in accordance with NIH policy and repository guidelines.

**Element 5: Access, Distribution, or Reuse Considerations**",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","Data sharing will be conducted in accordance with participant informed consent, which includes permission for broad data sharing. Data will be de-identified prior to sharing to protect participant privacy. Access to individual-level genomic and some clinical data will be subject to data use agreements to ensure compliance with privacy regulations and ethical standards. No additional restrictions are anticipated beyond those required for human subjects data.",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,2. **Whether access to scientific data will be controlled:**,"Yes. Access to individual-level data, particularly genomic data and sensitive clinical data, will be controlled and subject to approval by the data repository’s Data Access Committee (DAC). Users must submit data use requests and agree to repository data use terms.",ok
Human clinical and genomics data,primary\gpt-DMPs\Human clinical and genomics data-gpt-4.1.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","All data will be de-identified in accordance with HIPAA Safe Harbor or expert determination standards prior to sharing. Access to controlled data will require approval and compliance with repository and institutional policies. Additional protections include the use of secure data transfer and storage, Certificates of Confidentiality, and adherence to all applicable federal, state, and institutional human subject protections.

**Element 6: Oversight of Data Management and Sharing:**  
Oversight of data management and sharing will be the responsibility of the study’s Data Manager in collaboration with the Principal Investigator (PI) and institutional Data Steward. Compliance will be monitored throughout the project lifecycle, including annual internal audits, regular data quality checks, and review of data sharing and access activities. The PI will ensure compliance with this plan, and the Institutional Review Board (IRB) will provide oversight of human subject protections and data sharing practices. All data management activities will be documented and reviewed at least quarterly.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\gpt-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-gpt-4.1.md,1. **Types and amount of scientific data expected to be generated in the project:**,"The project will generate scientific data from approximately 200 zebrafish embryos (100 wild type and 100 phox2bb:mNeonGreen reporter transgenics). The following data types will be collected:
   - High-resolution image files (.png, .jpeg) from whole mount in situ hybridization experiments (estimated 500–1,000 images, totaling ~10–20 GB).
   - Raw bulk RNA-seq and/or single cell RNA-seq (scRNA-seq) fastq files from NeonGreen-labeled cells (estimated 200–500 GB).
   - Raw single cell ATAC-seq fastq files (~200–500 GB).
   - Processed data including gene expression matrices (.csv, .tsv), single cell clustering files, and open chromatin region bed files (~10–50 GB).
   - Associated metadata and analysis scripts.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\gpt-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-gpt-4.1.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The following data will be preserved and shared:
   - All raw sequencing data (bulk RNA-seq, scRNA-seq, ATAC-seq fastq files) to enable reproducibility and facilitate downstream analyses by other researchers.
   - Processed data files (gene expression matrices, clustering assignments, open chromatin region files) to expedite data reuse and integration.
   - In situ hybridization image files, which provide essential spatial and phenotypic context.
   - Metadata and protocols to ensure data interpretability.
   Sharing these data types aligns with NIH policies, supports transparency, and enables secondary analysis within the community.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\gpt-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-gpt-4.1.md,"3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be made accessible:
   - Sample information (genotype, developmental stage, experimental conditions, batch, probe sequences).
   - Detailed protocols for in situ hybridization, cell sorting, RNA-seq, and ATAC-seq library preparation.
   - Data processing and analysis workflows (including software versions and parameters).
   - Data dictionaries describing variables and file formats.
   - README files for datasets.

**Element 2: Related Tools, Software and/or Code:**  
Specialized tools and software are required to access and analyze the data:
   - Image viewers (e.g., Fiji/ImageJ, freely available at https://imagej.net/).
   - Standard bioinformatics tools for RNA-seq and ATAC-seq data (e.g., Cell Ranger, Seurat, Scanpy, Bowtie2, STAR, MACS2).
   - Processed data will be provided in standard formats (.csv, .tsv, .bed) interoperable with R and Python.
   - Custom analysis code and scripts will be shared via GitHub or as supplementary files and will include documentation for reproducibility.

**Element 3: Standards:**  
The following data standards will be applied:
   - Raw sequencing data will comply with the standards of repositories such as NCBI’s Gene Expression Omnibus (GEO) and Sequence Read Archive (SRA), including MIAME (Minimum Information About a Microarray Experiment) and MINSEQE (Minimum Information about a High-Throughput Nucleotide Sequencing Experiment) guidelines.
   - Metadata will adhere to the BioSample and BioProject standards.
   - Processed files will follow standard open file formats: .csv/.tsv for matrices, .bed for genomic coordinates, and .png/.jpeg for images.
   - Data and metadata will be structured to maximize interoperability and reuse.

**Element 4: Data Preservation, Access, and Associated Timelines**",ok
