dmp_title,md_path,Element title,Generated_Llama_content,status
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All raw whole genome sequencing data, derived genomic data, and associated phenotypic and clinical data collected from research participants will be preserved and shared through dbGaP and NDA. The rationale for this decision is to contribute significantly to the understanding of mental health disorders by making these valuable datasets available to the broader scientific community, facilitating collaborative research, replication studies, and accelerating discovery.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,"3. **Metadata, other relevant data, and associated documentation:**","To facilitate interpretation and reuse of our scientific data, we will make accessible comprehensive metadata including but not limited to: study protocols, data collection instruments, informed consent documents, and detailed descriptions of the genomic and phenotypic/clinical data collection processes. Additionally, data dictionaries used for organizing and structuring the phenotypic and clinical data will be shared through NDA.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,"### Element 2: Related Tools, Software and/or Code:","Specialized tools and software such as those used for whole genome sequencing analysis (e.g., BWA, GATK) and data manipulation (e.g., Python libraries like Pandas and NumPy) will be necessary to access or manipulate shared scientific data. These tools are widely available in the scientific community and can be accessed through their respective official websites or repositories (e.g., GitHub).",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,### Element 3: Standards:,"To enable interoperability of datasets, we will apply common data standards for genomic data as recommended by dbGaP and for phenotypic/clinical data as specified by NDA. Specifically, we will adhere to the Human Genome Variation Society (HGVS) nomenclature guidelines for genomic variations and utilize standardized vocabularies and ontologies endorsed by NDA for clinical and phenotypic data. This application of standardized formats ensures that our datasets can be easily integrated with other studies, promoting comparative analyses and collaborative research.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,1. **Repository where scientific data and metadata will be archived:**,"The raw whole genome sequencing data and derived genomic data will be submitted to dbGaP, while the phenotypic and clinical data along with associated metadata will be deposited into the National Institute of Mental Health Data Archive (NDA). Both repositories are recognized by NIH for archiving and sharing scientific data.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,2. **How scientific data will be findable and identifiable:**,"Each dataset will be assigned a unique identifier by dbGaP and NDA upon submission, ensuring that our scientific data can be easily located and accessed through these repositories. Furthermore, we will utilize standard indexing tools and keywords to enhance the discoverability of our datasets.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,3. **When and how long the scientific data will be made available:**,"In accordance with NIH policies, our scientific data will be made available no later than the time of publication of the main findings or at the end of the performance period, whichever comes first. The data will remain accessible through dbGaP and NDA for a minimum of 10 years after the project's completion to allow for extended research and analysis opportunities.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","Given that all research participants will provide broad consent for data sharing, the primary factors affecting subsequent access will be related to ensuring compliance with NIH guidelines and protecting participant privacy. There are no anticipated limitations on data sharing beyond standard protections for human subjects' confidentiality.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,2. **Whether access to scientific data will be controlled:**,"Access to our datasets through dbGaP and NDA may involve a controlled-access process, where researchers must apply and justify their intended use of the data before being granted access. This is particularly relevant for sensitive human subject data and ensures that data are used responsibly and ethically.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","To safeguard the privacy, rights, and confidentiality of our research participants, we will implement rigorous de-identification procedures for all shared data. Additionally, we will obtain Certificates of Confidentiality from NIH to further protect against compelled disclosure of identifiable information. All personnel involved in the project will undergo training on human subjects' protection and confidentiality.",ok
Genomic data from human research participants,primary\llama-DMPs\Genomic data from human research participants-llama3.3.md,### Element 6: Oversight of Data Management and Sharing:,"Compliance with this Data Management and Sharing Plan will be monitored by our institution's Data Management Oversight Committee, which includes representatives from our research team, the Office of Research Administration, and the Institutional Review Board (IRB). This committee will meet quarterly to review progress in data collection, sharing, and protection of human subjects' information. The Principal Investigator will be responsible for ensuring that all aspects of the Plan are implemented as described and for reporting any deviations or issues to the oversight committee.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,1. **Types and amount of scientific data expected to be generated in the project:**,"The proposed project aims to generate a comprehensive spatially mapped single-cell atlas of the developing mouse brain. The primary deliverables include matrices of cells × (counts in peaks for ATAC, UMIs in genes for RNA, or methylation status for DNAm) along with dense metadata tables. These tables will contain detailed information for each cell, such as animal sex, developmental time point, punch of origin with x,y,z coordinates, assigned cluster and inferred cell type, and various quality control metrics (e.g., total reads, passing reads, TSS enrichment). The amount of data generated is expected to be substantial, given the complexity and depth of single-cell analyses. Initial estimates suggest terabytes of raw sequencing data, which will be processed and analyzed to produce the final datasets.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All primary matrices and associated metadata tables from the mouse studies will be preserved and shared. The rationale for sharing these data is to contribute significantly to the scientific community's understanding of brain development at the single-cell level, facilitating further research into neurological disorders and developmental biology. Sharing these comprehensive datasets will enable other researchers to explore hypotheses that might not be feasible within the scope of our project, thereby accelerating discovery.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,"3. **Metadata, other relevant data, and associated documentation:**","Metadata will include but is not limited to cell identifiers, experimental conditions (e.g., sequencing platform, date of preparation), and quality control metrics. Other relevant data may encompass intermediate processing files necessary for reproducing the analyses. Associated documentation will comprise study protocols, data collection instruments, and detailed methodologies used in data generation and analysis. This comprehensive set of information will facilitate the interpretation and reuse of the shared scientific data.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,"### Element 2: Related Tools, Software and/or Code:","Specialized tools, software, and code are indeed necessary for accessing or manipulating the shared scientific data. Specifically, programming languages like Python and R, along with libraries such as Scanpy for single-cell analysis, will be essential. Additionally, utilization of software packages for peak calling (e.g., MACS2 for ATAC-seq) and methylation analysis tools will be required. These tools are widely used in the bioinformatics community and can be accessed through public repositories like GitHub or Bioconda.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,### Element 3: Standards:,"The project will apply common data standards to ensure interoperability of datasets and resources. Specifically, we will adhere to the standards set by the Human Cell Atlas (HCA) for single-cell data, including the use of H5AD files for storing processed single-cell data and the implementation of FAIR (Findable, Accessible, Interoperable, Reusable) principles for metadata. For genomics data, compliance with the Genome Analysis Toolkit (GATK) best practices will be maintained. The application of these standards will facilitate the integration of our dataset with existing resources and enable seamless collaboration and comparison across studies.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,1. **Repository where scientific data and metadata will be archived:**,Scientific data and metadata arising from this project will be archived in publicly accessible repositories such as the Gene Expression Omnibus (GEO) for genomic data and the Single Cell Portal for single-cell datasets. These repositories are compliant with NIH's guidelines for data sharing and provide a robust infrastructure for data preservation and access.,ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,2. **How scientific data will be findable and identifiable:**,"Each dataset will be assigned a unique identifier, such as an accession number provided by the repository where it is archived (e.g., GEO Series or GSE number). Additionally, we will utilize standard indexing tools like DOI (Digital Object Identifier) for datasets and publications to enhance discoverability.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,3. **When and how long the scientific data will be made available:**,"The scientific data will be made available no later than the time of publication of the main findings or at the end of the performance period, whichever comes first. The data will remain accessible indefinitely, as per the policies of the chosen repositories, to support ongoing research and future discoveries.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","The primary consideration for our project is ensuring that all shared data are de-identified and do not pose any risk to privacy or confidentiality, especially since some aspects of the study may involve human cells in later phases. However, given the initial focus on mouse models, these concerns will be revisited and updated as necessary upon expansion to human cell studies.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,2. **Whether access to scientific data will be controlled:**,Access to the scientific data generated from this project will not be controlled beyond what is required for privacy protection and compliance with regulatory standards. All datasets will be made openly accessible through public repositories.,ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","Although the initial phase focuses on mouse models, in the event that human cell data are generated during the project (as indicated may happen based on results from the mouse studies), strict measures will be taken to protect participant privacy, including de-identification of samples, obtaining appropriate informed consent for data sharing, and potentially utilizing Certificates of Confidentiality to safeguard sensitive information.",ok
Genomic data from a non-human source,primary\llama-DMPs\Genomic data from a non-human source-llama3.3.md,### Element 6: Oversight of Data Management and Sharing:,"Compliance with this Data Management and Sharing Plan will be overseen by the project's Principal Investigator (PI), in collaboration with the institution's Office of Research Compliance and the designated Data Manager. Regular reviews (at least annually) will ensure that all data are properly archived, shared according to the plan, and that any updates or changes to the plan are appropriately documented and communicated to NIH. The PI will be responsible for reporting on plan compliance as part of progress reports and will work closely with the research team to address any issues or concerns related to data management and sharing.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,1. **Types and amount of scientific data expected to be generated in the project:**,"This project involves secondary data analysis of existing MRI images and clinical assessments from human research participants, along with the deposition of privately held data into a public repository. The existing data includes collections from the NIMH Data Archive (NDA) - specifically collections 2134 with 148 subjects and 2433 with 47 subjects. Additionally, we have data from a previous study involving 155 research participants with major depressive disorder that will be uploaded to the NDA during the second quarter of the first year of funding. The structural MRI scans are available for time points before and after treatment, along with relevant clinical data.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All scientific data from this project, including MRI images and clinical assessments, will be preserved and shared through the NIMH Data Archive (NDA). The rationale for sharing these data is to contribute to the broader research community's understanding of major depressive disorder, facilitate further research, and enhance the reproducibility of findings. Sharing these data aligns with the principles of transparency and collaboration in scientific research.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,"3. **Metadata, other relevant data, and associated documentation:**","To facilitate interpretation of the shared scientific data, we will also make accessible the following metadata and documentation: study protocols, data collection instruments, participant consent forms, and detailed descriptions of MRI acquisition parameters. These will be provided in a format that is easily understandable and usable by other researchers.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,"### Element 2: Related Tools, Software and/or Code:","Specialized tools and software are needed to access or manipulate the shared scientific data, specifically those capable of handling MRI images (e.g., FSL, AFNI) and statistical analysis software (e.g., R, Python libraries such as Pandas and NumPy). These tools are widely available in the research community, and detailed instructions on how to access and use them will be provided alongside the shared data.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,### Element 3: Standards:,"To enable interoperability of datasets and resources, we will apply common data standards to the scientific data and associated metadata. Specifically, we will adhere to the BIDS (Brain Imaging Data Structure) standard for organizing and describing MRI data, and use standardized clinical data elements where applicable. These standards are widely recognized in the field and facilitate the integration of our data with other datasets.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,1. **Repository where scientific data and metadata will be archived:**,"The scientific data and metadata arising from this project will be archived in the NIMH Data Archive (NDA), a repository that is widely recognized for its role in storing and sharing mental health research data.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,2. **How scientific data will be findable and identifiable:**,"The scientific data will be made findable and identifiable through the use of persistent unique identifiers (e.g., DOI - Digital Object Identifier) and standard indexing tools provided by the NDA, allowing other researchers to easily locate and access our shared data.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,3. **When and how long the scientific data will be made available:**,"The scientific data will be made available to other users no later than the time of an associated publication or end of the performance period, whichever comes first. The data will remain available indefinitely through the NDA, subject to any limitations imposed by considerations related to human subjects protection.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","The primary factor affecting subsequent access, distribution, or reuse of our scientific data is the protection of human research participants' privacy and confidentiality. All participants have provided consent for broad data sharing, but certain identifying information will be removed or de-identified to protect their privacy.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,2. **Whether access to scientific data will be controlled:**,Access to the scientific data will not be controlled beyond the standard procedures and requirements of the NDA for ensuring appropriate use and protecting human subjects' data.,ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","To protect the privacy, rights, and confidentiality of human research participants, all shared data will be de-identified. Additionally, we will obtain Certificates of Confidentiality from the NIH to further safeguard against disclosure of sensitive information.",ok
Secondary data analysis,primary\llama-DMPs\Secondary data analysis-llama3.3.md,### Element 6: Oversight of Data Management and Sharing:,"Compliance with this Data Management and Sharing Plan will be monitored and managed by our institution's research administration office, specifically through the roles of the Principal Investigator and a designated data manager. Oversight will include regular checks (at least quarterly) to ensure that data are being properly curated, shared in accordance with the plan, and that all necessary documentation and metadata are up-to-date and accessible.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,1. **Types and amount of scientific data expected to be generated in the project:**,"This study expects to generate a significant amount of clinical and genomic data from approximately 1000 participants. Clinical data will include demographical information, insurance status, medical history, medications, lab tests (both from clinical sites and central laboratories), physical exams data, and other relevant clinical data collected at varying frequencies over up to 12 months. Genomic data will comprise individual-level data including Whole Exome Sequencing (WES), shallow Whole Genome Sequencing (WGS), and DNA methylation arrays (EPIC), totaling around 10 TB of genomic data.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All clinical and genomic data collected during this study will be preserved and shared. The rationale is to contribute to the broader scientific community's understanding of the relationship between genotype and phenotype in the context of this study, facilitating future research, replication studies, and meta-analyses that could lead to significant advancements in healthcare and treatments.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,"3. **Metadata, other relevant data, and associated documentation:**","Metadata will include participant identifiers, collection dates, types of assays performed, and technical details about genomic analyses (e.g., sequencing depth, coverage). Other relevant data will encompass study protocols, case report forms used for clinical data collection, and detailed descriptions of bioinformatic pipelines used for genomic data analysis. Associated documentation will also include consent forms that explicitly allow for broad data sharing.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,"### Element 2: Related Tools, Software and/or Code:","Specialized tools, software, and code are needed to access or manipulate shared scientific data. For genomic data analysis, this may include bioinformatic pipelines such as BWA for alignment, GATK for variant calling, and R packages for statistical analysis. Access to these tools can be facilitated through open-source repositories like GitHub or Bioconductor, where applicable.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,### Element 3: Standards:,"Common data standards applied will include those recommended by the NIH for genomic data (e.g., VCF for variant calls) and clinical data (e.g., CDISC standards for clinical trials data). Metadata standards such as ISA-Tab will be used to describe experimental conditions, sample characteristics, and assay details. These standards enable interoperability of datasets and resources, facilitating their integration and analysis across different studies.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,1. **Repository where scientific data and metadata will be archived:**,"The scientific data and metadata arising from this project will be archived in the NICHD DASH repository as well as other NIH-approved repositories for genomic and clinical data (e.g., dbGaP for genomic data, ClinicalTrials.gov for clinical trial data).",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,2. **How scientific data will be findable and identifiable:**,Scientific data will be made findable and identifiable through the use of persistent unique identifiers such as DOI numbers or accession numbers provided by the repositories where the data are archived.,ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,3. **When and how long the scientific data will be made available:**,"The scientific data will be made available no later than the time of publication of the main findings from the study or at the end of the performance period, whichever comes first. The data will remain available for at least 10 years after the study's completion to allow for extended research and validation studies.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","Given that all participants are consented for broad data sharing, limitations on access, distribution, or reuse will primarily pertain to protecting participant privacy and confidentiality. However, no additional factors beyond standard protections for human subjects research are anticipated.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,2. **Whether access to scientific data will be controlled:**,"Access to certain aspects of the genomic data may be controlled through mechanisms like dbGaP, which requires users to apply for access and agree to terms of use that protect participant confidentiality.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","To protect participant privacy, rights, and confidentiality, all shared data will be de-identified according to HIPAA guidelines. The study has also obtained a Certificate of Confidentiality from the NIH to further safeguard against disclosure of sensitive information.",ok
Human clinical and genomics data,primary\llama-DMPs\Human clinical and genomics data-llama3.3.md,### Element 6: Oversight of Data Management and Sharing:,"Compliance with this Data Management and Sharing Plan will be monitored and managed by the study's Principal Investigator in collaboration with the institution's data management and compliance offices. Regular oversight meetings (at least quarterly) will ensure that data collection, storage, sharing, and protection practices adhere to the plan and all relevant regulations and guidelines.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,1. **Types and amount of scientific data expected to be generated in the project:**,"The proposed project is expected to generate several types of scientific data from approximately 200 zebrafish embryos (100 wild types and 100 phox2bb:mNeonGreen reporter transgenic fish embryos). The primary data types include:
   - *In situ hybridization images (.png, .jpeg files) for genes of interest using digoxigenin-labeled antisense RNA probes.
   - *Transcriptional profiling data from NeonGreen labeled cells through bulk RNA-seq analysis, single cell clustering and expression analysis, and/or single cell RNA-seq (scRNA-seq).
   - Detailed cis-regulatory and open chromatin analysis data from single cell ATAC-seq.
   - Raw data will be collected as fastq files, which will then be transformed into matrices and bed files using standard workflows for bulk RNA-seq, scRNA-seq, and ATAC-seq analyses.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All raw and processed data from in situ hybridization, bulk RNA-seq, scRNA-seq, and ATAC-seq experiments will be preserved and shared. The rationale is to facilitate transparency, reproducibility, and further research by making these datasets available to the scientific community. Sharing these data aligns with the principles of open science and can accelerate discoveries related to gene expression and regulatory mechanisms in zebrafish models.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,"3. **Metadata, other relevant data, and associated documentation:**","To facilitate interpretation of the scientific data, the following will be made accessible:
   - Metadata: Sample information (e.g., embryo type, experimental conditions), sequencing parameters, and analysis pipeline details.
   - Other relevant data: Gene expression levels, differential gene expression analyses, and chromatin accessibility data.
   - Associated documentation: Study protocols, data collection instruments, and detailed methods for each experiment.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,"### Element 2: Related Tools, Software and/or Code:","Specialized tools, software, and/or code are needed to access or manipulate shared scientific data. These include:
- Bioinformatics pipelines for RNA-seq and ATAC-seq data analysis (e.g., HISAT2, FeatureCounts, DESeq2).
- Single-cell analysis tools (e.g., Seurat, Scanpy).*
- Genomic browsers (e.g., UCSC Genome Browser, IGV) for visualizing chromatin accessibility and gene expression data.
These tools are widely used in the field and can be accessed through their respective websites or repositories (e.g., GitHub, Bioconductor).",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,### Element 3: Standards:,"Common data standards will be applied to the scientific data and associated metadata to enable interoperability of datasets and resources. Specifically:
- FASTQ files for raw sequencing data, adhering to the FASTQ format standard.
- BED and bigWig files for genome-wide data (e.g., ATAC-seq peaks, gene expression levels), following the ENCODE data standards.
- Metadata will be described using standardized ontologies (e.g., EFO, DOID) where applicable.
These standards are chosen because they are widely adopted in the genomics and transcriptomics communities, facilitating data integration and comparison across studies.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,1. **Repository where scientific data and metadata will be archived:**,"The scientific data and metadata arising from this project will be archived in the Gene Expression Omnibus (GEO) repository and/or the NCBI Sequence Read Archive (SRA), which are appropriate for genomics and transcriptomics data.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,2. **How scientific data will be findable and identifiable:**,"Data will be made findable and identifiable through the assignment of unique identifiers (e.g., GEO accession numbers, SRA run accessions) and standard indexing tools like PubMed and Google Scholar.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,3. **When and how long the scientific data will be made available:**,"The scientific data will be made available to other users no later than the time of publication of the main findings or at the end of the performance period, whichever comes first. The data will remain accessible for a minimum of 10 years after the project's completion, adhering to NIH guidelines and repository policies.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,"1. **Factors affecting subsequent access, distribution, or reuse of scientific data:**","Given that this project involves zebrafish embryos and not human subjects, there are no limitations related to informed consent, privacy, or confidentiality protections. However, any reuse of the data should properly cite the original publication and adhere to the terms of use specified by the repositories where the data are archived.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,2. **Whether access to scientific data will be controlled:**,"Access to the scientific data will not be controlled beyond what is standard for public repositories like GEO or SRA. Data will be available for download without restrictions, other than those imposed by the repository's terms of service.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,"3. **Protections for privacy, rights, and confidentiality of human research participants:**","This project does not involve human subjects; therefore, protections for human research participant privacy, rights, and confidentiality are not applicable.",ok
Gene expression analysis data from non-human model organism (zebrafish),primary\llama-DMPs\Gene expression analysis data from non-human model organism (zebrafish)-llama3.3.md,### Element 6: Oversight of Data Management and Sharing:,"Compliance with this Data Management and Sharing Plan will be monitored and managed by the Principal Investigator (PI) in collaboration with the institution's Research Data Management Office. Oversight activities include regular checks on data deposition into designated repositories, ensuring metadata completeness, and verifying that shared data are properly cited in publications. The PI and the data management team will meet bi-annually to review progress and address any issues related to data sharing and management.",ok
Human survey data,primary\llama-DMPs\Human survey data-llama3.3.md,1. **Types and amount of scientific data expected to be generated in the project:**,"The study anticipates generating a significant amount of data from survey interviews with 2,500 children aged 8-17 years and 1,500 primary caregivers, as well as child time diaries. This will include raw interview data, recoded data for missing values or top coding, scale composites, and individual-level links to detailed school data from the National Center for Education Statistics (NCES) and contextual data based on geocodes for family residences.",ok
